Your task is to predict the next location for an individual based on this individual's mobility trajectory.
Each record: day_of_week, start_time, end_time, location_id
Friday, 18:15, 19:00, 250277612003
Friday, 19:15, 19:15, 250277612002
Friday, 19:30, 20:00, 250277612003
Friday, 20:15, 20:15, 250173201021
Friday, 20:30, 20:30, 250214422024
Friday, 20:45, 23:45, 250214412041
Wednesday, 05:00, 07:15, 250214412041
Wednesday, 07:30, 07:30, 250214091022
Wednesday, 07:45, 07:45, 250214422012
Wednesday, 08:00, 08:00, 440070185002
Wednesday, 08:15, 08:15, 440070114031
Wednesday, 08:30, 17:30, 440070185002
Wednesday, 17:45, 17:45, 440070114021
Wednesday, 18:00, 23:45, 250214412041
Friday, 05:00, 19:00, 250214412041
Friday, 19:15, 19:15, 250214091022
Friday, 19:30, 19:30, 250214422022
Friday, 19:45, 23:45, 250214412041

=== Current Day Context ===
Tuesday, 05:00, 08:30, 250214412041

=== Prediction ===
Question: At 12:00, what location will this person be at?
Answer:
